Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C34,C38,C39,C40,C42,C43,C46,C47,C48,C49,C50,C53,C55,C63,C66,C69",C_0805_2012Metric,C126469,17
0R,R49,R_0805_2012Metric,C17477,1
100R,"R71,R72",R_0805_2012Metric,C17408,2
100uF 6.3V,"C10,C14,C57,C59,C60,C62,C65",CP_EIA-3528-15_AVX-H,C7195,7
10K,"R1,R17,R2,R21,R27,R33,R42,R56,R63,R66",R_0805_2012Metric,C17414,10
10R,R41,R_0805_2012Metric,C17415,1
10nF,"C15,C22,C23,C24,C25,C27,C37",C_0805_2012Metric,C1710,7
10uF,"C16,C33,C58",C_0805_2012Metric,C15850,3
10uH 0805,L1,L_0805_2012Metric,C88172,1
120R,R53,R_0805_2012Metric,C17437,1
150pF,C68,C_0805_2012Metric,C107111,1
1K,"R58,R59",R_0805_2012Metric,C149504,2
1K,"R28,R45,R46,R47,R48,R51,R61,R62,R67",R_0805_2012Metric,C17513,8
1K2,"R12,R23,R24,R25,R8",R_0805_2012Metric,C114526,5
1K5,"R10,R11,R31,R32,R55,R9",R_0805_2012Metric,C114555,6
1K8,"R13,R18",R_0805_2012Metric,C114222,2
1N5,C64,C_0805_2012Metric,C1717,1
1nF,"C21,C30,C31,C32,C61",C_0805_2012Metric,C94121,5
1uF,"C1,C17,C18,C19,C2,C20,C26,C35,C36,C4,C5,C52,C54,C56,C6,C7,C9",C_0805_2012Metric,C215803,17
1uF 25V,C44,C_0805_2012Metric,C116352,1
220R,"R15,R16,R19,R20",R_0805_2012Metric,C17557,4
22nF,"C12,C13,C28,C29,C3,C8",C_0805_2012Metric,C1729,6
27K,R57,R_0805_2012Metric,C17593,1
27pF,"C41,C45",C_0805_2012Metric,C1808,2
2K,R52,R_0805_2012Metric,C17604,1
2K2,"R14,R22,R26",R_0805_2012Metric,C114561,3
2K6,"R43,R44",R_0805_2012Metric,C144568,2
330Pf,C67,C_0805_2012Metric,C107116,1
3K9,"R3,R64",R_0805_2012Metric,C114221,2
LEDS,"LED1,LED2",LED_0805_2012Metric,C84256,2
3uH,L3,L_10.4x10.4_H4.8,C31964,1
470uF 25V,C51,CP_Elec_10x10,C46550466,1
47K,R65,R_0805_2012Metric,C17713,1
4K7,"R29,R30,R5,R54,R6,R7",R_0805_2012Metric,C60816,6
560R,"R34,R35,R36,R37,R38,R50",R_0805_2012Metric,C28636,6
5K1,R70,R_0805_2012Metric,C84375,1
680R,"R60,R69",R_0805_2012Metric,C17798,2
68uH,L2,L_12x12mm_H8mm,C9907,1
6K2,"R39,R40",R_0805_2012Metric,C114535,2
6K8,R68,R_0805_2012Metric,C137409,1
"74LVC3G17DC,125",IC6,SOP50P310X100-8N,C458193,1
8MHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962,1
AMS1117-3.3,IC10,SOT-223-3_TabPin2,C6186,1
CD74HC30M96,IC4,SOIC127P600X175-14N,C6540,1
ESDCAN01-2BLY,D17,SOT95P255X150-3N,C53340814,1
FH12-50S-0.5SVA_54_,CONN6,FH1250S05SVA54,C597991,1
JFC2410-0500TS,F1,FUSC6126X280N,C136377,1
LM2901,IC1,SOIC-14_3.9x8.7mm_P1.27mm,C7932,1
MCP6291T-E_OT,IC11,SOT95P280X145-5N,C145575,1
MMBT3904,"Q1,Q2",SOT-23,C20526,2
NCV8452STT3G,IC2,SOT230P700X180-4N,C477982,1
SMAJ18CA,"D10,D12",DIONM5127X229N,C10768,2
SMAJ5.0A,"D1,D15,D2,D3,D4,D5,D6,D7,D8,D9",DIOM5127X229N,C83329,10
SMAJ7.0A,D16,DIOM5026X229N,C138782,1
SN65HVD230,IC5,SOIC-8_3.9x4.9mm_P1.27mm,C12084,1
SN74LVC1G125DCK,IC13,Texas_R-PDSO-G5_DCK-5,C7833,1
SN74LVC3G04DCUR,IC9,SOP50P310X90-8N,C153799,1
SN74LVC3G17DCTR,IC12,MSOP-8_3x3mm_P0.65mm,C18213,1
SS54B,"D11,D14",DIOM5336X244N,C32513,2
STM32F103VCTx,IC7,LQFP-100_14x14mm_P0.5mm,C53327627,1
TDA2822D,IC3,SOIC127P600X175-8N,C668663,1
XL1509-5.0E1,IC8,SOIC127P600X175-8N,C61063,1
